Freq(cm-1)  IR_numerical  IR_gaussian  Diff
408.292997  0.0       0.0       0.0
408.300849  0.0001    0.0       -0.0001
621.920016  2e-05     0.0       -2e-05
621.945278  1e-05     0.0       -1e-05
683.445008  87.58711  87.5266   -0.06051
712.585383  3e-05     0.0       -3e-05
851.122331  3e-05     0.0       -3e-05
851.319178  1e-05     0.0       -1e-05
954.390862  2e-05     2e-05     0.0
954.555096  8e-05     0.0       -8e-05
987.46513   2e-05     0.0       -2e-05
998.804481  3e-05     0.0       -3e-05
1018.23372  1e-05     0.0       -1e-05
1043.94178  3.19787   3.18449   -0.01338
1044.0033   3.18278   3.18738   0.0046
1188.6294   7e-05     0.0       -7e-05
1199.42947  4e-05     0.0       -4e-05
1199.46556  9e-05     0.0       -9e-05
1331.5317   0.0       0.0       0.0
1380.85106  0.00017   0.0       -0.00017
1496.13601  6.36527   6.36321   -0.00206
1496.15737  6.34842   6.35778   0.00936
1590.60841  2e-05     1e-05     -1e-05
1590.64049  2e-05     1e-05     -1e-05
3097.87866  0.00027   0.00014   -0.00013
3107.78896  0.00022   1e-05     -0.00021
3107.84659  5e-05     0.0       -5e-05
3126.1622   68.53009  68.49466  -0.03543
3126.22622  68.4249   68.48012  0.05522
3140.85639  7e-05     0.0       -7e-05
